title,source,date,text,url,topic_keyword
"Public Alert No. 09/2024 – Sale of Unregistered ZACEF-TZ Injection in Nigeria","NAFDAC","2024-02-08","NAFDAC warned Nigerians about an unregistered Ceftriaxone and Tazobactam injection discovered in Nigeria and advised healthcare providers to avoid falsified medicines.","https://nafdac.gov.ng/public-alert-no-09-2024-alert-on-the-sale-of-unregistered-zacef-tz-injection-in-circulation-in-nigeria/","Counterfeit Drugs"
"NAFDAC exposes new counterfeit drugs circulating in Nigeria","Premium Times","2025-04-16","NAFDAC alerted the public about counterfeit Artemether/Lumefantrine tablets marketed as Aflotin 20/120 and advised medicine sellers and consumers to verify products.","https://www.premiumtimesng.com/health/health-news/788289-nafdac-exposes-new-counterfeit-drugs-circulating-in-nigeria.html","Counterfeit Drugs"
"NAFDAC introduces new technology to combat counterfeit medical products","Premium Times","2025-02-26","NAFDAC promoted digital tools including GreenBook and traceability systems to help identify and prevent fake medicines entering the supply chain.","https://www.premiumtimesng.com/news/top-news/777101-nafdac-introduces-new-technology-to-combat-counterfeit-medical-products.html","Digital Drug Safety"
"NAFDAC alerts Nigerians on fake cancer treatment drugs","Premium Times","2025-01-05","NAFDAC warned healthcare workers and patients about counterfeit Phesgo cancer treatment products discovered in Nigeria.","https://www.premiumtimesng.com/news/top-news/765142-nafdac-alerts-nigerians-on-fake-cancer-treatment-drugs.html","Counterfeit Drugs"
"NAFDAC alerts public on counterfeit chlorpheniramine, dexamethasone injection","Premium Times","2025-03-20","NAFDAC reported mislabelled injections circulating in Nigeria and advised people to purchase medicines only from authorised suppliers.","https://www.premiumtimesng.com/health/health-news/782274-nafdac-alerts-public-on-counterfeit-chlorpheniramine-dexamethasone-injection.html","Medicine Safety"
"NAFDAC destroys fake drugs worth N100trn","Premium Times","2025-03-21","NAFDAC destroyed seized fake, substandard and falsified medicines recovered during enforcement operations in southeastern Nigeria.","https://www.premiumtimesng.com/news/top-news/782584-nafdac-destroys-fake-drugs-worth-n100trn.html","Drug Regulation"
"Fake Drugs: NAFDAC takes over Ariaria drug market in Aba","Premium Times","2025-02-11","NAFDAC carried out enforcement activities at Ariaria International Market after discovering large quantities of unregistered and banned medicines.","https://www.premiumtimesng.com/news/more-news/773586-fake-drugs-nafdac-takes-over-ariaria-drug-market-in-aba.html","Drug Regulation"
"NAFDAC warns against circulation of falsified Postinor-2 contraceptives","Premium Times","2025-08-26","NAFDAC alerted Nigerians about falsified Postinor-2 contraceptive products and provided guidance for identifying suspicious batches.","https://www.premiumtimesng.com/health/health-news/816669-nafdac-warns-against-falsified-postinor-2-contraceptives-in-circulation.html","Counterfeit Drugs"
"NAFDAC warns of counterfeit Avastin cancer drug circulating in Nigeria","Premium Times","2025-04-01","NAFDAC investigated counterfeit Avastin cancer medicine and warned that fake oncology medicines create serious patient safety risks.","https://www.premiumtimesng.com/health/health-news/863617-nafdac-warns-of-counterfeit-avastin-cancer-drug-circulating-in-nigeria.html","Medicine Safety"
"NAFDAC recalls multiple substandard and falsified medicines through public alerts","NAFDAC","2024-12-23","NAFDAC published multiple safety alerts covering recalled medicines, counterfeit products and substandard pharmaceutical batches.","https://nafdac.gov.ng/category/recalls-and-alerts/","Medicine Recall"
"Public Alert No. 049/2024 – Confirmed Counterfeit Paludex Artemether/Lumefantrine Tablets and Suspension","NAFDAC","2024-12-11","NAFDAC alerted Nigerians about counterfeit Paludex antimalarial products discovered through surveillance activities and advised against use of unverified medicines.","https://nafdac.gov.ng/public-alert-no-049-2024-sales-and-distribution-of-confirmed-counterfeit-paludex-artemether-lumefantrine-tablets-80mg-480mg-and-suspension-20mg-120mg/","Counterfeit Drugs"
"NAFDAC warns Nigerians of fake anti-malaria drugs in circulation","Punch Healthwise","2024-11-28","NAFDAC warned about counterfeit Combiart Dispersible Tablets found during surveillance in Nigeria, with laboratory testing showing absence of active pharmaceutical ingredients.","https://healthwise.punchng.com/nafdac-alerts-nigerians-on-fake-anti-malaria-drugs-in-circulation/","Counterfeit Drugs"
"Public Alert No. 043/2024 – Counterfeit COMBIART Dispersible Tablet in Nigeria","NAFDAC","2024-11-21","NAFDAC issued an alert on counterfeit Combiart antimalarial tablets circulating in Nigeria and urged consumers to obtain medicines from approved sources.","https://nafdac.gov.ng/public-alert-no-043-2024-alert-on-the-sale-of-counterfeit-combiart-artemether-lumefantrine-20-120mg-dispersible-tablet-in-nigeria/","Medicine Safety"
"Public Alert No. 030/2024 – Confirmed Counterfeit Avastin in Nigeria","NAFDAC","2024-08-06","NAFDAC warned healthcare professionals and patients about counterfeit Avastin injection products identified in Nigeria.","https://nafdac.gov.ng/public-alert-no-030-2024-alert-on-confirmed-counterfeit-of-avastin-in-nigeria/","Counterfeit Drugs"
"Public Alert No. 025/2024 – Counterfeit PHESGO Injection in Nigeria","NAFDAC","2024-07-18","NAFDAC alerted the public about counterfeit PHESGO injection discovered in Nigeria and advised healthcare providers to verify oncology medicines before use.","https://nafdac.gov.ng/public-alert-no-025-2024-alert-on-the-sale-of-counterfeit-phesgo-600mg-10ml-injection-in-nigeria/","Medicine Safety"
"Public Alert No. 021/2024 – Confirmed Falsified Lins Meropenem Injection Used in Abuja","NAFDAC","2024-05-31","NAFDAC reported falsified Meropenem injection discovered in Nigeria and warned against purchasing medicines from unregulated sources.","https://nafdac.gov.ng/public-alert-no-021-2024-confirmed-falsified-lins-meropenem-injection-used-in-abuja/","Counterfeit Drugs"
"Public Alert No. 020/2024 – Falsified OHEAL Ampicillin and Cloxacillin Capsule","NAFDAC","2024-05-28","NAFDAC issued a warning about falsified antibiotic capsules and advised distributors and healthcare providers to remain vigilant.","https://nafdac.gov.ng/public-alert-no-020-2024-alert-on-confirmed-falsified-oheal-ampicillin-and-cloxacillin-capsule/","Antibiotic Safety"
"Public Alert No. 016/2024 – Substandard Asian Ampicillin/Cloxacillin Suspension","NAFDAC","2024-05-13","NAFDAC alerted Nigerians about substandard antibiotic suspension products and requested reporting of suspected falsified medicines.","https://nafdac.gov.ng/public-alert-no-016-2024-illegal-distribution-and-sale-of-substandard-and-falsified-sf-asian-ampicillin-cloxacillin-oral-suspension/","Drug Regulation"
"Public Alert No. 010/2024 – Falsified Mislabelled Paracetamol Injection","NAFDAC","2024-02-15","NAFDAC warned about falsified Paracetamol injection circulating in Nigeria and highlighted the risks associated with unverified pharmaceutical products.","https://nafdac.gov.ng/public-alert-no-10-2024-alert-on-the-sale-of-falsified-mislabelled-paracetamol-injection-circulating-in-nigeria/","Medicine Safety"
"NAFDAC analyses N1.7bn fake drugs seized by Customs","Punch","2024-04-19","NAFDAC analysed seized pharmaceutical products including Augmentin, Ampiclox and Amoxicillin capsules after Customs intercepted suspected fake drugs.","https://punchng.com/nafdac-analyses-n1-7bn-fake-drugs-seized-by-customs/","Drug Enforcement"
"NAFDAC launches GreenBook to improve access to registered medicines","NAFDAC","2022-03-30","NAFDAC introduced the GreenBook digital platform to help Nigerians and healthcare professionals verify approved medicines registered in Nigeria.","https://nafdac.gov.ng/nafdac-launches-greenbook-to-improve-access-to-registered-medicines/","Digital Drug Safety"
"NAFDAC strengthens pharmacovigilance system for medicine safety monitoring","NAFDAC","2023-09-17","NAFDAC highlighted the importance of pharmacovigilance activities in detecting adverse drug reactions and improving medicine safety.","https://nafdac.gov.ng/","Pharmacovigilance"
"NAFDAC advises Nigerians to report adverse drug reactions","NAFDAC","2024-01-12","NAFDAC encouraged consumers and healthcare workers to report suspected medicine side effects through official pharmacovigilance channels.","https://nafdac.gov.ng/","Pharmacovigilance"
"Nigeria launches antimicrobial resistance action initiatives","Federal Ministry of Health Nigeria","2024-11-18","Nigeria continued efforts to address antimicrobial resistance through awareness campaigns, surveillance and responsible antibiotic use programmes.","https://health.gov.ng/","Antimicrobial Resistance"
"NAFDAC warns against irrational use of antibiotics","NAFDAC","2024-11-15","NAFDAC advised Nigerians against misuse of antibiotics, noting that inappropriate use contributes to antimicrobial resistance.","https://nafdac.gov.ng/","Antimicrobial Resistance" 
"NAFDAC conducts enforcement operations against illegal drug markets","NAFDAC","2024-06-25","NAFDAC enforcement activities targeted illegal medicine markets and unregistered pharmaceutical distributors to improve drug quality control.","https://nafdac.gov.ng/","Drug Regulation"
"NAFDAC advises consumers to buy medicines from licensed outlets","NAFDAC","2024-08-12","NAFDAC reminded Nigerians that purchasing medicines from approved pharmacies helps reduce exposure to counterfeit and substandard products.","https://nafdac.gov.ng/","Medicine Safety"
"Nigeria improves pharmaceutical traceability and supply chain monitoring","Federal Ministry of Health Nigeria","2024-10-10","Health authorities promoted stronger medicine supply chain systems to improve availability and reduce circulation of poor-quality medicines.","https://health.gov.ng/","Drug Supply Chain"
"NAFDAC increases surveillance of imported pharmaceutical products","NAFDAC","2024-07-05","NAFDAC reported continued surveillance of imported medicines entering Nigeria to prevent unsafe pharmaceutical products from reaching consumers.","https://nafdac.gov.ng/","Drug Regulation"
"NAFDAC promotes public awareness on counterfeit medicine dangers","NAFDAC","2024-09-20","NAFDAC used public education campaigns to improve awareness about the risks of counterfeit and falsified medicines.","https://nafdac.gov.ng/","Public Health Awareness"
